"system","sample","sample_start","sample_end","nobs","dependent_variable","cost_variable","model_id","model","test","test_label","statistics","1pct","5pct","10pct","reject_1pct","reject_5pct","reject_10pct","break_index","break_month","trim","lrv_bandwidth","lrv_kernel"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",1,"C_level_shift","ADF_t","ADF*",-3.78103436277758,-5.13,-4.61,-4.34,FALSE,FALSE,FALSE,84,"2017-07-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",1,"C_level_shift","PP_Zt","Zt*",-4.08488328524403,-5.13,-4.61,-4.34,FALSE,FALSE,FALSE,79,"2017-02-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",1,"C_level_shift","PP_Za","Za*",-30.6177683202596,-50.07,-40.48,-36.19,FALSE,FALSE,FALSE,79,"2017-02-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","ADF_t","ADF*",-27.0405225589346,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,137,"2021-12-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","PP_Zt","Zt*",-25.0539136256318,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,138,"2022-01-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","PP_Za","Za*",-29.4303129349021,-57.28,-47.96,-43.22,FALSE,FALSE,FALSE,137,"2021-12-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",3,"C_S_regime_shift","ADF_t","ADF*",-4.112322185355,-5.47,-4.95,-4.68,FALSE,FALSE,FALSE,75,"2016-10-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",3,"C_S_regime_shift","PP_Zt","Zt*",-5.18864355979759,-5.47,-4.95,-4.68,FALSE,TRUE,TRUE,77,"2016-12-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",3,"C_S_regime_shift","PP_Za","Za*",-46.1342538482047,-57.17,-47.04,-41.85,FALSE,FALSE,TRUE,77,"2016-12-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",4,"regime_and_trend_shift","ADF_t","ADF*",-5.0214842516304,-6.02,-5.5,-5.24,FALSE,FALSE,FALSE,37,"2013-08-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",4,"regime_and_trend_shift","PP_Zt","Zt*",-4.27437698025748,-6.02,-5.5,-5.24,FALSE,FALSE,FALSE,79,"2017-02-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",4,"regime_and_trend_shift","PP_Za","Za*",-31.4522197407095,-69.37,-58.58,-53.31,FALSE,FALSE,FALSE,79,"2017-02-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",1,"C_level_shift","ADF_t","ADF*",-5.23301327390393,-5.13,-4.61,-4.34,TRUE,TRUE,TRUE,47,"2014-06-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",1,"C_level_shift","PP_Zt","Zt*",-4.76216269321298,-5.13,-4.61,-4.34,FALSE,TRUE,TRUE,47,"2014-06-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",1,"C_level_shift","PP_Za","Za*",-34.8886609332822,-50.07,-40.48,-36.19,FALSE,FALSE,FALSE,47,"2014-06-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","ADF_t","ADF*",-36.0593829107775,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,126,"2021-01-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","PP_Zt","Zt*",-35.6026592550404,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,126,"2021-01-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","PP_Za","Za*",-36.3014896439639,-57.28,-47.96,-43.22,FALSE,FALSE,FALSE,125,"2020-12-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",3,"C_S_regime_shift","ADF_t","ADF*",-6.00347792449927,-5.47,-4.95,-4.68,TRUE,TRUE,TRUE,40,"2013-11-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",3,"C_S_regime_shift","PP_Zt","Zt*",-5.24701210339445,-5.47,-4.95,-4.68,FALSE,TRUE,TRUE,43,"2014-02-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",3,"C_S_regime_shift","PP_Za","Za*",-44.5754294387914,-57.17,-47.04,-41.85,FALSE,FALSE,TRUE,43,"2014-02-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",4,"regime_and_trend_shift","ADF_t","ADF*",-6.35715274703079,-6.02,-5.5,-5.24,TRUE,TRUE,TRUE,47,"2014-06-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",4,"regime_and_trend_shift","PP_Zt","Zt*",-5.07656989684563,-6.02,-5.5,-5.24,FALSE,FALSE,FALSE,43,"2014-02-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",4,"regime_and_trend_shift","PP_Za","Za*",-43.3773081792217,-69.37,-58.58,-53.31,FALSE,FALSE,FALSE,43,"2014-02-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",1,"C_level_shift","ADF_t","ADF*",-4.08580152009101,-5.13,-4.61,-4.34,FALSE,FALSE,FALSE,34,"2016-10-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",1,"C_level_shift","PP_Zt","Zt*",-5.57680104977974,-5.13,-4.61,-4.34,TRUE,TRUE,TRUE,38,"2017-02-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",1,"C_level_shift","PP_Za","Za*",-49.0911913763182,-50.07,-40.48,-36.19,FALSE,TRUE,TRUE,38,"2017-02-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","ADF_t","ADF*",-21.0478819370317,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,100,"2022-04-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","PP_Zt","Zt*",-20.9323177369765,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,100,"2022-04-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","PP_Za","Za*",-21.166229342816,-57.28,-47.96,-43.22,FALSE,FALSE,FALSE,99,"2022-03-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",3,"C_S_regime_shift","ADF_t","ADF*",-4.787156047891,-5.47,-4.95,-4.68,FALSE,FALSE,TRUE,49,"2018-01-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",3,"C_S_regime_shift","PP_Zt","Zt*",-6.34050031875773,-5.47,-4.95,-4.68,TRUE,TRUE,TRUE,36,"2016-12-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",3,"C_S_regime_shift","PP_Za","Za*",-65.3974045679876,-57.17,-47.04,-41.85,TRUE,TRUE,TRUE,36,"2016-12-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",4,"regime_and_trend_shift","ADF_t","ADF*",-4.52446508322512,-6.02,-5.5,-5.24,FALSE,FALSE,FALSE,38,"2017-02-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",4,"regime_and_trend_shift","PP_Zt","Zt*",-3.96897199125188,-6.02,-5.5,-5.24,FALSE,FALSE,FALSE,37,"2017-01-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",4,"regime_and_trend_shift","PP_Za","Za*",-29.0753571104805,-69.37,-58.58,-53.31,FALSE,FALSE,FALSE,37,"2017-01-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",1,"C_level_shift","ADF_t","ADF*",-4.16270032190683,-5.13,-4.61,-4.34,FALSE,FALSE,FALSE,33,"2016-09-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",1,"C_level_shift","PP_Zt","Zt*",-5.2852640536733,-5.13,-4.61,-4.34,TRUE,TRUE,TRUE,54,"2018-06-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",1,"C_level_shift","PP_Za","Za*",-35.6994100068586,-50.07,-40.48,-36.19,FALSE,FALSE,FALSE,14,"2015-02-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","ADF_t","ADF*",-38.7302287224283,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,115,"2023-07-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","PP_Zt","Zt*",-38.5012991123239,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,115,"2023-07-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","PP_Za","Za*",-38.2379603626716,-57.28,-47.96,-43.22,FALSE,FALSE,FALSE,115,"2023-07-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",3,"C_S_regime_shift","ADF_t","ADF*",-4.32588020600892,-5.47,-4.95,-4.68,FALSE,FALSE,FALSE,27,"2016-03-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",3,"C_S_regime_shift","PP_Zt","Zt*",-5.2118676191444,-5.47,-4.95,-4.68,FALSE,TRUE,TRUE,102,"2022-06-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",3,"C_S_regime_shift","PP_Za","Za*",-34.3249710690542,-57.17,-47.04,-41.85,FALSE,FALSE,FALSE,103,"2022-07-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",4,"regime_and_trend_shift","ADF_t","ADF*",-4.33424440705567,-6.02,-5.5,-5.24,FALSE,FALSE,FALSE,27,"2016-03-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",4,"regime_and_trend_shift","PP_Zt","Zt*",-5.31537157196998,-6.02,-5.5,-5.24,FALSE,FALSE,TRUE,83,"2020-11-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",4,"regime_and_trend_shift","PP_Za","Za*",-37.2566157706694,-69.37,-58.58,-53.31,FALSE,FALSE,FALSE,83,"2020-11-01",0.1,"nw","ba"
